"Deviator stress(Axial strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 1:57:14 PM"


64
Axial strain,Deviator stress
0.0627944,0.194241,
0.0941915,0.253656,
0.109890,0.303931,
0.156986,0.363346,
0.219780,0.413620,
0.266876,0.486746,
0.313972,0.543876,
0.361068,0.603291,
0.423862,0.664991,
0.486656,0.738117,
0.518053,0.820384,
0.518053,0.872943,
0.627943,0.946069,
0.737834,1.03748,
0.784929,1.11060,
0.847724,1.17230,
0.926217,1.23172,
1.02041,1.28656,
1.11460,1.34826,
1.20879,1.41682,
1.30298,1.46938,
1.45997,1.52422,
1.67975,1.58821,
1.91523,1.63163,
2.16640,1.65448,
2.44898,1.67048,
2.90424,1.67962,
3.39089,1.67505,
3.87755,1.67505,
4.34851,1.66362,
4.74097,1.66133,
5.05494,1.65905,
5.40031,1.65448,
5.71429,1.65219,
6.13815,1.64305,
6.62480,1.63620,
7.14286,1.62934,
7.51962,1.62934,
7.92779,1.62706,
8.36735,1.62477,
8.75981,1.62477,
9.27787,1.61792,
9.67033,1.61792,
10.0785,1.62020,
10.5338,1.62020,
10.9733,1.61792,
11.4600,1.61563,
12.0094,1.61335,
12.5118,1.60878,
12.9356,1.60649,
13.2967,1.60649,
13.7363,1.60649,
14.2386,1.60649,
14.8195,1.60878,
15.2747,1.60878,
15.9027,1.61563,
16.4521,1.61563,
17.0644,1.62249,
17.6295,1.62477,
18.2261,1.62934,
18.9168,1.62249,
19.3407,1.61335,
19.7017,1.60878,
19.9843,1.59735,
