"Deviator stress(Axial Strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:29:54 PM"


24
Axial Strain,Deviator stress
-0.0291481,0.0431098,
0.750585,1.07743,
1.55413,1.54277,
3.18375,1.77949,
4.01193,1.75776,
4.84024,1.74896,
5.63950,1.79189,
6.49748,1.79171,
7.29638,1.80016,
8.12500,1.82153,
8.98264,1.78686,
9.81148,1.82979,
10.6105,1.84686,
11.4095,1.86823,
12.2380,1.87668,
13.0368,1.88082,
13.9247,1.91080,
14.6640,1.87615,
15.5522,1.93200,
16.3512,1.94907,
17.1204,1.95321,
17.9787,1.98320,
18.7778,2.00458,
19.5765,1.99579,
